state-city,start_zipcode,end_zipcode
CO-Brush,80723,80723
CO-Buena Vista,81211,81211
CO-Buffalo Creek,80425,80425
CO-Burlington,80807,80807
CO-Burns,80426,80426
CO-Byers,80103,80103
CO-Cahone,81320,81320
CO-Calhan,80808,80808
CO-Campo,81029,81029
CO-Canon City,81212,81215
CO-Capulin,81124,81124
CO-Carbondale,81623,81623
CO-Carr,80612,80612
CO-Cascade,80809,80809
CO-Castle Rock,80104,80109
CO-Cedaredge,81413,81413
CO-Center,81125,81125
CO-Central City,80427,80427
CO-Chama,81126,81126
CO-Cheraw,81030,81030
CO-Cheyenne Wells,80810,80810
CO-Chromo,81128,81128
CO-Cimarron,81220,81220
CO-Clark,80428,80428
CO-Clifton,81520,81520
CO-Climax,80429,80429
CO-Coal Creek,81221,81221
CO-Coaldale,81222,81222
CO-Coalmont,80430,80430
CO-Collbran,81624,81624
CO-Colorado City,81019,81019
CO-Colorado Springs,80901,80997
CO-Commerce City,80022,80037
CO-Como,80432,80432
CO-Conejos,81129,81129
CO-Conifer,80433,80433
CO-Cope,80812,80812
CO-Cortez,81321,81321
CO-Cory,81414,81414
CO-Cotopaxi,81223,81223
CO-Cowdrey,80434,80434
CO-Craig,81625,81626
CO-Crawford,81415,81415
CO-Creede,81130,81130
CO-Crested Butte,81224,81225
CO-Crestone,81131,81131
CO-Cripple Creek,80813,80813
CO-Crook,80726,80726
CO-Crowley,81033,81034
CO-Dacono,80514,80514
CO-De Beque,81630,81630
CO-Deer Trail,80105,80105
CO-Del Norte,81132,81132
CO-Delta,81416,81416
CO-Denver,80201,80299
CO-Dillon,80435,80435
CO-Dinosaur,81610,81633
CO-Divide,80814,80814
CO-Dolores,81323,81323
CO-Dove Creek,81324,81324
CO-Drake,80515,80515
CO-Dumont,80436,80436
CO-Dupont,80024,80024
CO-Durango,81301,81303
CO-Eads,81036,81036
CO-Eagle,81631,81631
CO-Eastlake,80614,80614
CO-Eaton,80615,80615
CO-Eckert,81418,81418
CO-Eckley,80727,80727
CO-Edwards,81632,81632
CO-Egnar,81325,81325
CO-Elbert,80106,80106
CO-Eldorado Springs,80025,80025
CO-Elizabeth,80107,80107
CO-Empire,80438,80438
CO-Englewood,80110,80155
CO-Erie,80516,80516
CO-Estes Park,80511,80517
CO-Evans,80620,80620
CO-Evergreen,80437,80439
CO-Fairplay,80440,80440
CO-Firestone,80520,80520
CO-Flagler,80815,80815
CO-Fleming,80728,80728
CO-Florence,81226,81290
CO-Florissant,80816,80816
CO-Fort Collins,80521,80553
CO-Fort Garland,81133,81133
CO-Fort Lupton,80621,80621
CO-Fort Lyon,81038,81038
CO-Fort Morgan,80701,80701
CO-Fountain,80817,80817
CO-Fowler,81039,81039
CO-Franktown,80116,80116
CO-Fraser,80442,80442
CO-Frederick,80530,80530
CO-Frisco,80443,80443
CO-Fruita,81521,81521
CO-Galeton,80622,80622
CO-Gardner,81040,81040
CO-Gateway,81522,81522
CO-Genoa,80818,80818
CO-Georgetown,80444,80444
CO-Gilcrest,80623,80623
CO-Gill,80624,80624
CO-Glade Park,81523,81523
CO-Glen Haven,80532,80532
CO-Glenwood Springs,81601,81602
CO-Golden,80401,80419
CO-Granada,81041,81041
CO-Granby,80446,80446
CO-Grand Junction,81501,81507
CO-Grand Lake,80447,80447
CO-Granite,81228,81228
CO-Grant,80448,80448
CO-Greeley,80631,80639
CO-Green Mountain Falls,80819,80819
CO-Grover,80729,80729
CO-Guffey,80820,80820
CO-Gunnison,81230,81231
CO-Gypsum,81637,81637
CO-Hamilton,81638,81638
CO-Hartman,81043,81043
CO-Hartsel,80449,80449
CO-Hasty,81044,81044
CO-Haswell,81045,81045
CO-Haxtun,80731,80731
CO-Hayden,81639,81639
CO-Henderson,80640,80640
CO-Hereford,80732,80732
CO-Hesperus,81326,81326
CO-Hillrose,80733,80733
CO-Hillside,81232,81232
CO-Hoehne,81046,81046
CO-Holly,81047,81047
CO-Holyoke,80734,80734
CO-Homelake,81135,81135
CO-Hooper,81136,81136
CO-Hot Sulphur Springs,80451,80451
CO-Hotchkiss,81419,81419
CO-Howard,81233,81233
CO-Hudson,80642,80642
CO-Hugo,80821,80821
CO-Hygiene,80533,80533
CO-Idaho Springs,80452,80452
CO-Idalia,80735,80735
CO-Idledale,80453,80453
CO-Ignacio,81137,81137
CO-Iliff,80736,80736
CO-Indian Hills,80454,80454
CO-Jamestown,80455,80455
CO-Jaroso,81138,81138
CO-Jefferson,80456,80456
CO-Joes,80822,80822
CO-Johnstown,80534,80534
CO-Julesburg,80737,80737
CO-Karval,80823,80823
CO-Keenesburg,80643,80643
CO-Kersey,80644,80644
CO-Kim,81049,81049
CO-Kiowa,80117,80117
CO-Kirk,80824,80824
CO-Kit Carson,80825,80825
CO-Kittredge,80457,80457
CO-Kremmling,80459,80459
CO-La Jara,81140,81140
CO-La Junta,81050,81050
CO-La Salle,80645,80645
CO-La Veta,81055,81055
CO-Lafayette,80026,80026
CO-Lake City,81235,81235
CO-Lake George,80827,80827
CO-Lamar,81052,81052
CO-Laporte,80535,80535
CO-Larkspur,80118,80118
CO-Las Animas,81054,81054
CO-Lazear,81420,81420
CO-Leadville,80461,80461
CO-Lewis,81327,81327
CO-Limon,80826,80828
CO-Lindon,80740,80740
CO-Littleton,80120,80166
CO-Livermore,80536,80536
CO-Log Lane Village,80705,80705
CO-Loma,81524,81524
CO-Lone Tree,80124,80124
CO-Longmont,80501,80504
CO-Louisville,80027,80027
CO-Louviers,80131,80131
CO-Loveland,80537,80539
CO-Lucerne,80646,80646
CO-Lyons,80540,80540
CO-Mack,81525,81525
CO-Manassa,81141,81141
CO-Mancos,81328,81328
CO-Manitou Springs,80829,80829
CO-Manzanola,81058,81058
CO-Marvel,81329,81329
CO-Masonville,80541,80541
CO-Matheson,80830,80830
CO-Maybell,81640,81640
CO-Mc Clave,81057,81057
CO-Mc Coy,80463,80463
CO-Mead,80542,80542
CO-Meeker,81641,81641
CO-Meredith,81642,81642
CO-Merino,80741,80741
CO-Mesa,81643,81643
CO-Mesa Verde National Park,81330,81330
CO-Milliken,80543,80543
CO-Minturn,81645,81645
CO-Model,81059,81059
CO-Moffat,81143,81143
CO-Molina,81646,81646
CO-Monarch,81227,81227
CO-Monte Vista,81144,81144
CO-Montrose,81401,81403
CO-Monument,80132,80132
CO-Morrison,80465,80465
CO-Mosca,81146,81146
CO-Nathrop,81236,81236
CO-Naturita,81422,81422
CO-Nederland,80466,80466
CO-New Castle,81647,81647
CO-New Raymer,80742,80742
CO-Niwot,80544,80544
CO-Norwood,81423,81423
CO-Nucla,81424,81424
CO-Nunn,80648,80648
CO-Oak Creek,80467,80467
CO-Ohio City,81237,81237
CO-Olathe,81425,81425
CO-Olney Springs,81062,81062
CO-Ophir,81426,81426
CO-Orchard,80649,80649
CO-Ordway,81063,81063
CO-Otis,80743,80743
CO-Ouray,81427,81427
CO-Ovid,80744,80744
CO-Padroni,80745,80745
CO-Pagosa Springs,81147,81157
CO-Palisade,81526,81526
CO-Palmer Lake,80133,80133
CO-Paoli,80746,80746
CO-Paonia,81428,81428
CO-Parachute,81635,81635
CO-Paradox,81429,81429
CO-Parker,80134,80138
CO-Parlin,81239,81239
CO-Parshall,80468,80468
CO-Peetz,80747,80747
CO-Penrose,81240,81240
CO-Peyton,80831,80831
CO-Phippsburg,80469,80469
CO-Pierce,80650,80650
CO-Pine,80470,80470
CO-Pinecliffe,80471,80471
CO-Pitkin,81241,81241
CO-Placerville,81430,81430
CO-Platteville,80651,80651
CO-Pleasant View,81331,81331
CO-Poncha Springs,81242,81242
CO-Powderhorn,81243,81243
CO-Pritchett,81064,81064
CO-Pueblo,81001,81012
CO-Ramah,80832,80832
CO-Rand,80473,80473
CO-Rangely,81648,81648
CO-Red Cliff,81649,81649
CO-Red Feather Lakes,80545,80545
CO-Redvale,81431,81431
CO-Rico,81332,81332
CO-Ridgway,81432,81432
CO-Rifle,81650,81650
CO-Rockvale,81244,81244
CO-Rocky Ford,81067,81067
CO-Roggen,80652,80652
CO-Rollinsville,80474,80474
CO-Romeo,81148,81148
CO-Rush,80833,80833
CO-Rye,81069,81069
CO-Saguache,81149,81149
CO-Salida,81201,81201
CO-San Luis,81152,81152
CO-Sanford,81151,81151
CO-Sargents,81248,81248
CO-Sedalia,80135,80135
CO-Sedgwick,80749,80749
CO-Seibert,80834,80834
CO-Severance,80546,80546
CO-Shawnee,80475,80475
CO-Sheridan Lake,81071,81071
CO-Silt,81652,81652
CO-Silver Plume,80476,80476
CO-Silverthorne,80497,80498
CO-Silverton,81433,81433
CO-Simla,80835,80835
CO-Slater,81653,81653
CO-Snowmass,81654,81654
CO-Snowmass Village,81615,81615
CO-Snyder,80750,80750
CO-Somerset,81434,81434
CO-South Fork,81154,81154
CO-Springfield,81073,81073
CO-Steamboat Springs,80477,80488
CO-Sterling,80751,80751
CO-Stoneham,80754,80754
CO-Strasburg,80136,80136
CO-Stratton,80836,80836
CO-Sugar City,81076,81076
CO-Swink,81077,81077
CO-Tabernash,80478,80478
CO-Telluride,81435,81435
CO-Thornton,80241,80241
CO-Timnath,80547,80547
CO-Toponas,80479,80479
CO-Towaoc,81334,81334
CO-Trinchera,81081,81081
CO-Trinidad,81082,81082
CO-Twin Lakes,81251,81251
CO-Two Buttes,81084,81084
CO-Usaf Academy,80840,80841
CO-Vail,81657,81658
CO-Vernon,80755,80755
CO-Victor,80860,80860
CO-Vilas,81087,81087
CO-Villa Grove,81155,81155
CO-Vona,80861,80861
CO-Walden,80480,80480
CO-Walsenburg,81089,81089
CO-Walsh,81090,81090
CO-Ward,80481,80481
CO-Watkins,80137,80137
CO-Weldona,80653,80653
CO-Wellington,80549,80549
CO-Westcliffe,81252,81252
CO-Westminster,80030,80036
CO-Weston,81091,81091
CO-Wetmore,81253,81253
CO-Wheat Ridge,80033,80034
CO-Whitewater,81527,81527
CO-Wiggins,80654,80654
CO-Wild Horse,80862,80862
CO-Wiley,81092,81092
CO-Windsor,80550,80551
CO-Winter Park,80482,80482
CO-Wolcott,81655,81655
CO-Woodland Park,80863,80866
CO-Woodrow,80757,80757
CO-Woody Creek,81656,81656
CO-Wray,80758,80758
CO-Yampa,80483,80483
CO-Yellow Jacket,81335,81335
CO-Yoder,80864,80864
CO-Yuma,80759,80759
CT-Abington,06230,06230
CT-Amston,06231,06231
CT-Andover,06232,06232
CT-Ansonia,06401,06401
CT-Ashford,06278,06278
CT-Avon,06001,06001
CT-Ballouville,06233,06233
CT-Baltic,06330,06330
CT-Bantam,06750,06750
CT-Barkhamsted,06063,06063
CT-Beacon Falls,06403,06403
CT-Berlin,06037,06037
CT-Bethany,06524,06524
CT-Bethel,06801,06801
CT-Bethlehem,06751,06751
CT-Bloomfield,06002,06002
CT-Bolton,06043,06043
CT-Botsford,06404,06404
CT-Bozrah,06334,06334
CT-Branford,06405,06405
CT-Bridgeport,06601,06699
CT-Bridgewater,06752,06752
CT-Bristol,06010,06011
CT-Broad Brook,06016,06016
CT-Brookfield,06804,06804
CT-Brooklyn,06234,06234
CT-Burlington,06013,06013
CT-Canaan,06018,06018
CT-Canterbury,06331,06331
CT-Canton,06019,06019
CT-Canton Center,06020,06020
CT-Centerbrook,06409,06409
CT-Central Village,06332,06332
CT-Chaplin,06235,06235
CT-Cheshire,06408,06411
CT-Chester,06412,06412
CT-Clinton,06413,06413
CT-Cobalt,06414,06414
CT-Colchester,06415,06415
CT-Colebrook,06021,06021
CT-Collinsville,06022,06022
CT-Columbia,06237,06237
CT-Cornwall,06753,06753
CT-Cornwall Bridge,06754,06754
CT-Cos Cob,06807,06807
CT-Coventry,06238,06238
CT-Cromwell,06416,06416
CT-Danbury,06810,06817
CT-Danielson,06239,06239
CT-Darien,06820,06820
CT-Dayville,06241,06241
CT-Deep River,06417,06417
CT-Derby,06418,06418
CT-Durham,06422,06422
CT-East Berlin,06023,06023
CT-East Canaan,06024,06024
CT-East Glastonbury,06025,06025
CT-East Granby,06026,06026
CT-East Haddam,06423,06423
CT-East Hampton,06424,06424
CT-East Hartford,06108,06138
CT-East Hartland,06027,06027
CT-East Killingly,06243,06243
CT-East Lyme,06333,06333
CT-East Windsor,06088,06088
CT-East Windsor Hill,06028,06028
CT-East Woodstock,06244,06244
CT-Eastford,06242,06242
CT-Easton,06612,06612
CT-Ellington,06029,06029
CT-Enfield,06082,06083
CT-Essex,06426,06426
CT-Fabyan,06245,06245
CT-Fairfield,06824,06828
CT-Falls Village,06031,06031
CT-Farmington,06030,06034
CT-Gales Ferry,06335,06335
CT-Gaylordsville,06755,06755
CT-Georgetown,06829,06829
CT-Gilman,06336,06336
CT-Glastonbury,06033,06033
CT-Goshen,06756,06756
CT-Granby,06035,06035
CT-Greens Farms,06838,06838
CT-Greenwich,06830,06836
CT-Grosvenor Dale,06246,06246
CT-Groton,06340,06349
CT-Guilford,06437,06437
CT-Haddam,06438,06438
CT-Hadlyme,06439,06439
CT-Hamden,06514,06518
CT-Hampton,06247,06247
CT-Hanover,06350,06350
CT-Hartford,06101,06199
CT-Harwinton,06791,06791
CT-Hawleyville,06440,06440
CT-Hebron,06248,06248
CT-Higganum,06441,06441
CT-Ivoryton,06442,06442
CT-Jewett City,06351,06351
CT-Kent,06757,06757
CT-Killingworth,06419,06419
CT-Lakeside,06758,06758
CT-Lakeville,06039,06039
CT-Lebanon,06249,06249
CT-Ledyard,06339,06339
CT-Litchfield,06759,06759
CT-Madison,06443,06443
CT-Manchester,06040,06045
CT-Mansfield Center,06250,06250
CT-Mansfield Depot,06251,06251
CT-Marion,06444,06444
CT-Marlborough,06447,06447
CT-Mashantucket,06338,06338
CT-Meriden,06450,06451
CT-Middle Haddam,06456,06456
CT-Middlebury,06762,06762
CT-Middlefield,06455,06455
CT-Middletown,06457,06459
CT-Milford,06460,06461
CT-Milldale,06467,06467
CT-Monroe,06468,06468
CT-Montville,06353,06353
CT-Moodus,06469,06469
CT-Moosup,06354,06354
CT-Morris,06763,06763
CT-Mystic,06355,06355
CT-Naugatuck,06770,06770
CT-New Britain,06050,06053
CT-New Canaan,06840,06840
CT-New Fairfield,06812,06812
CT-New Hartford,06057,06057
CT-New Haven,06501,06540
CT-New London,06320,06320
CT-New Milford,06776,06776
CT-New Preston Marble Dale,06777,06777
CT-Newington,06111,06131
CT-Newtown,06470,06470
CT-Niantic,06357,06357
CT-Norfolk,06058,06058
CT-North Branford,06471,06471
CT-North Canton,06059,06059
CT-North Franklin,06254,06254
CT-North Granby,06060,06060
CT-North Grosvenordale,06255,06255
CT-North Haven,06473,06473
CT-North Stonington,06359,06359
CT-North Westchester,06474,06474
CT-North Windham,06256,06256
CT-Northfield,06778,06778
CT-Northford,06472,06472
CT-Norwalk,06850,06860
CT-Norwich,06360,06360
CT-Oakdale,06370,06370
CT-Oakville,06779,06779
CT-Old Greenwich,06870,06870
CT-Old Lyme,06371,06371
CT-Old Mystic,06372,06372
CT-Old Saybrook,06475,06475
CT-Oneco,06373,06373
CT-Orange,06477,06477
CT-Oxford,06478,06478
CT-Pawcatuck,06379,06379
CT-Pequabuck,06781,06781
CT-Pine Meadow,06061,06061
CT-Plainfield,06374,06374
CT-Plainville,06062,06062
CT-Plantsville,06479,06479
CT-Plymouth,06782,06782
CT-Pomfret,06258,06258
CT-Pomfret Center,06259,06259
CT-Poquonock,06064,06064
CT-Portland,06480,06480
CT-Preston,06365,06365
CT-Prospect,06712,06712
CT-Putnam,06260,06260
CT-Quaker Hill,06375,06375
CT-Quinebaug,06262,06262
CT-Redding,06896,06896
CT-Redding Center,06875,06875
CT-Redding Ridge,06876,06876
CT-Ridgefield,06877,06879
CT-Riverside,06878,06878
CT-Riverton,06065,06065
CT-Rockfall,06481,06481
CT-Rocky Hill,06067,06067
CT-Rogers,06263,06263
CT-Roxbury,06783,06783
CT-Salem,06420,06420
CT-Salisbury,06068,06068
CT-Sandy Hook,06482,06482
CT-Scotland,06264,06264
CT-Seymour,06483,06483
CT-Sharon,06069,06069
CT-Shelton,06484,06484
CT-Sherman,06784,06784
CT-Simsbury,06070,06070
CT-Somers,06071,06071
CT-Somersville,06072,06072
CT-South Britain,06487,06487
CT-South Glastonbury,06073,06073
CT-South Kent,06785,06785
CT-South Lyme,06376,06376
CT-South Willington,06265,06265
CT-South Windham,06266,06266
CT-South Windsor,06074,06074
CT-South Woodstock,06267,06267
CT-Southbury,06488,06488
CT-Southington,06489,06489
CT-Southport,06890,06890
CT-Stafford,06075,06075
CT-Stafford Springs,06076,06076
CT-Staffordville,06077,06077
CT-Stamford,06901,06927
CT-Sterling,06377,06377
CT-Stevenson,06491,06491
CT-Stonington,06378,06378
CT-Storrs Mansfield,06268,06269
CT-Stratford,06614,06615
CT-Suffield,06078,06080
CT-Taconic,06079,06079
CT-Taftville,06380,06380
CT-Tariffville,06081,06081
CT-Terryville,06786,06786
CT-Thomaston,06787,06787
CT-Thompson,06277,06277
CT-Tolland,06084,06084
CT-Torrington,06790,06792
CT-Trumbull,06611,06611
CT-Uncasville,06382,06382
CT-Unionville,06085,06087
CT-Vernon Rockville,06066,06066
CT-Versailles,06383,06383
CT-Voluntown,06384,06384
CT-Wallingford,06492,06495
CT-Washington,06793,06793
CT-Washington Depot,06794,06794
CT-Waterbury,06701,06749
CT-Waterford,06385,06385
CT-Watertown,06795,06795
CT-Wauregan,06387,06387
CT-Weatogue,06089,06089
CT-West Cornwall,06796,06796
CT-West Granby,06090,06090
CT-West Hartford,06107,06137
CT-West Hartland,06091,06091
CT-West Haven,06516,06516
CT-West Mystic,06388,06388
CT-West Simsbury,06092,06092
CT-West Suffield,06093,06093
CT-Westbrook,06498,06498
CT-Weston,06883,06883
CT-Westport,06880,06889
CT-Wethersfield,06109,06129
CT-Willimantic,06226,06226
CT-Willington,06279,06279
CT-Wilton,06897,06897
CT-Winchester Center,06094,06094
CT-Windham,06280,06280
CT-Windsor,06006,06095
CT-Windsor Locks,06096,06096
CT-Winsted,06098,06098
CT-Wolcott,06716,06716
CT-Woodbury,06798,06798
CT-Woodstock,06281,06281
CT-Woodstock Valley,06282,06282
CT-Yantic,06389,06389
DC-Naval Anacost Annex,20373,20373
DC-Washington,20001,56972
DC-Washington Navy Yard,20374,20398
DE-Bear,19701,19701
DE-Bethany Beach,19930,19930
DE-Bethel,19931,19931
DE-Bridgeville,19933,19933
DE-Camden Wyoming,19934,19934
DE-Cheswold,19936,19936
DE-Claymont,19703,19703
DE-Clayton,19938,19938
DE-Dagsboro,19939,19939
DE-Delaware City,19706,19706
DE-Delmar,19940,19940
DE-Dover,19901,19906
DE-Dover Afb,19902,19902
DE-Ellendale,19941,19941
DE-Felton,19943,19943
DE-Fenwick Island,19944,19944
DE-Frankford,19945,19945
DE-Frederica,19946,19946
DE-Georgetown,19947,19947
DE-Greenwood,19950,19950
DE-Harbeson,19951,19951
DE-Harrington,19952,19952
DE-Hartly,19953,19953
DE-Hockessin,19707,19707
DE-Houston,19954,19954
DE-Kenton,19955,19955
DE-Kirkwood,19708,19708
DE-Laurel,19956,19956
DE-Lewes,19958,19958
DE-Lincoln,19960,19960
DE-Little Creek,19961,19961
DE-Magnolia,19962,19962
DE-Marydel,19964,19964
DE-Middletown,19709,19709
DE-Milford,19963,19963
DE-Millsboro,19966,19966
DE-Millville,19967,19967
DE-Milton,19968,19968
DE-Montchanin,19710,19710
DE-Nassau,19969,19969
DE-New Castle,19720,19726
DE-Newark,19702,19725
DE-Ocean View,19970,19970
DE-Odessa,19730,19730
DE-Port Penn,19731,19731
DE-Rehoboth Beach,19971,19971
DE-Rockland,19732,19732
DE-Saint Georges,19733,19733
DE-Seaford,19973,19973
DE-Selbyville,19975,19975
DE-Smyrna,19977,19977
DE-Townsend,19734,19734
DE-Viola,19979,19979
DE-Wilmington,19801,19899
DE-Winterthur,19735,19735
DE-Woodside,19980,19980
DE-Yorklyn,19736,19736
FL-Alachua,32615,32616
FL-Alford,32420,32420
FL-Altamonte Springs,32701,32716
FL-Altha,32421,32421
FL-Altoona,32702,32702
FL-Alturas,33820,33820
FL-Alva,33920,33920
FL-Anna Maria,34216,34216
FL-Anthony,32617,32617
FL-Apalachicola,32320,32329
FL-Apollo Beach,33572,33572
FL-Apopka,32703,32712
FL-Arcadia,34265,34269
FL-Archer,32618,32618
FL-Argyle,32422,32422
FL-Aripeka,34679,34679
FL-Astatula,34705,34705
FL-Astor,32102,32102
FL-Atlantic Beach,32233,32233
FL-Auburndale,33823,33823
FL-Avon Park,33825,33826
FL-Babson Park,33827,33827
FL-Bagdad,32530,32530
FL-Baker,32531,32531
FL-Balm,33503,33503
FL-Barberville,32105,32105
FL-Bartow,33830,33831
FL-Bascom,32423,32423
FL-Bay Pines,33744,33744
FL-Bell,32619,32619
FL-Belle Glade,33430,33430
FL-Belleair Beach,33786,33786
FL-Belleview,34420,34421
FL-Beverly Hills,34464,34465
FL-Big Pine Key,33043,33043
FL-Blountstown,32424,32424
FL-Boca Grande,33921,33921
FL-Boca Raton,33427,33499
FL-Bokeelia,33922,33922
FL-Bonifay,32425,32425
FL-Bonita Springs,34133,34136
FL-Bostwick,32007,32007
FL-Bowling Green,33834,33834
FL-Boynton Beach,33424,33474
FL-Bradenton,34201,34282
FL-Bradenton Beach,34217,34217
FL-Bradley,33835,33835
FL-Brandon,33508,33511
FL-Branford,32008,32008
FL-Bristol,32321,32321
FL-Bronson,32621,32621
FL-Brooker,32622,32622
FL-Brooksville,34601,34614
FL-Bryceville,32009,32009
FL-Bunnell,32110,32110
FL-Bushnell,33513,33513
FL-Callahan,32011,32011
FL-Campbellton,32426,32426
FL-Canal Point,33438,33438
FL-Candler,32111,32111
FL-Cantonment,32533,32533
FL-Cape Canaveral,32920,32920
FL-Cape Coral,33904,33993
FL-Captiva,33924,33924
FL-Carrabelle,32322,32322
FL-Caryville,32427,32427
FL-Cassadaga,32706,32706
FL-Casselberry,32707,32730
FL-Cedar Key,32625,32625
FL-Center Hill,33514,33514
FL-Century,32535,32535
FL-Chattahoochee,32324,32324
FL-Chiefland,32626,32644
FL-Chipley,32428,32428
FL-Chokoloskee,34138,34138
FL-Christmas,32709,32709
FL-Citra,32113,32113
FL-Clarcona,32710,32710
FL-Clarksville,32430,32430
FL-Clearwater,33755,33769
FL-Clearwater Beach,33767,33767
FL-Clermont,34711,34715
FL-Clewiston,33440,33440
FL-Cocoa,32922,32927
FL-Cocoa Beach,32931,32932
FL-Coconut Creek,33097,33097
FL-Coleman,33521,33521
FL-Copeland,34137,34137
FL-Coral Gables,33114,33114
FL-Coral Springs,33075,33075
FL-Cortez,34215,34215
FL-Cottondale,32431,32431
FL-Crawfordville,32326,32327
FL-Crescent City,32112,32112
FL-Crestview,32536,32539
FL-Cross City,32628,32628
FL-Crystal Beach,34681,34681
FL-Crystal River,34423,34429
FL-Crystal Springs,33524,33524
FL-Cypress,32432,32432
FL-Dade City,33523,33526
FL-Dania,33004,33004
FL-Davenport,33836,33897
FL-Day,32013,32013
FL-Daytona Beach,32114,32198
FL-De Leon Springs,32130,32130
FL-Debary,32713,32753
FL-Deerfield Beach,33441,33443
FL-Defuniak Springs,32433,32435
FL-Deland,32720,32724
FL-Delray Beach,33444,33484
FL-Deltona,32725,32739
FL-Destin,32540,32541
FL-Doctors Inlet,32030,32030
FL-Dover,33527,33527
FL-Dundee,33838,33838
FL-Dunedin,34697,34698
FL-Dunnellon,34430,34434
FL-Durant,33530,33530
FL-Eagle Lake,33839,33839
FL-Earleton,32631,32631
FL-East Palatka,32131,32131
FL-Eastlake Weir,32133,32133
FL-Eastpoint,32328,32328
FL-Eaton Park,33840,33840
FL-Ebro,32437,32437
FL-Edgewater,32132,32141
FL-Eglin Afb,32542,32542
FL-El Jobean,33927,33927
FL-Elfers,34680,34680
FL-Elkton,32033,32033
FL-Ellenton,34222,34222
FL-Englewood,34223,34295
FL-Estero,33928,33929
FL-Eustis,32726,32736
FL-Everglades City,34139,34139
FL-Evinston,32633,32633
FL-Fairfield,32634,32634
FL-Felda,33930,33930
FL-Fellsmere,32948,32948
FL-Fernandina Beach,32034,32035
FL-Ferndale,34729,34729
FL-Flagler Beach,32136,32136
FL-Fleming Island,32003,32006
FL-Florahome,32140,32140
FL-Floral City,34436,34436
FL-Fort Lauderdale,33301,33394
FL-Fort Mc Coy,32134,32134
FL-Fort Meade,33841,33841
FL-Fort Myers,33901,33994
FL-Fort Myers Beach,33931,33932
FL-Fort Ogden,34267,34267
FL-Fort Pierce,34945,34982
FL-Fort Walton Beach,32547,32549
FL-Fort White,32038,32038
FL-Fountain,32438,32438
FL-Freeport,32439,32439
FL-Frostproof,33843,33843
FL-Fruitland Park,34731,34731
FL-Gainesville,32601,32653
FL-Geneva,32732,32732
FL-Georgetown,32139,32139
FL-Gibsonton,33534,33534
FL-Glen Saint Mary,32040,32040
FL-Glenwood,32722,32722
FL-Goldenrod,32733,32733
FL-Gonzalez,32560,32560
FL-Goodland,34140,34140
FL-Gotha,34734,34734
FL-Graceville,32440,32440
FL-Graham,32042,32042
FL-Grand Island,32735,32735
FL-Grand Ridge,32442,32442
FL-Grandin,32138,32138
FL-Grant,32949,32949
FL-Green Cove Springs,32043,32043
FL-Greenacres,33454,33454
FL-Greensboro,32330,32330
FL-Greenville,32331,32331
FL-Greenwood,32443,32443
FL-Gretna,32332,32332
FL-Groveland,34736,34736
FL-Gulf Breeze,32561,32563
FL-Gulf Hammock,32639,32639
FL-Haines City,33844,33845
FL-Hallandale,33008,33009
FL-Hampton,32044,32044
FL-Hastings,32145,32145
FL-Havana,32333,32333
FL-Hawthorne,32640,32640
FL-Hernando,34441,34442
FL-Hialeah,33002,33018
FL-High Springs,32643,32655
FL-Highland City,33846,33846
FL-Hilliard,32046,32046
FL-Hobe Sound,33455,33475
FL-Holder,34445,34445
FL-Holiday,34690,34692
FL-Hollister,32147,32147
FL-Hollywood,33019,33084
FL-Holmes Beach,34218,34218
FL-Holt,32564,32564
FL-Homeland,33847,33847
FL-Homestead,33030,33092
FL-Homosassa,34446,34487
FL-Homosassa Springs,34447,34447
FL-Horseshoe Beach,32648,32648
FL-Hosford,32334,32334
FL-Howey In The Hills,34737,34737
FL-Hudson,34667,34674
FL-Hurlburt Field,32544,32544
FL-Immokalee,34142,34143
FL-Indialantic,32903,32903
FL-Indian Lake Estates,33855,33855
FL-Indian Rocks Beach,33785,33785
FL-Indiantown,34956,34956
FL-Inglis,34449,34449
FL-Intercession City,33848,33848
FL-Interlachen,32148,32149
FL-Inverness,34450,34453
FL-Islamorada,33036,33036
FL-Island Grove,32654,32654
FL-Istachatta,34636,34636
FL-Jacksonville,32099,32277
FL-Jacksonville Beach,32240,32250
FL-Jasper,32052,32052
FL-Jay,32565,32565
FL-Jennings,32053,32053
FL-Jensen Beach,34957,34958
FL-Jupiter,33458,33478
FL-Kathleen,33849,33849
FL-Kenansville,34739,34739
FL-Key Biscayne,33149,33149
FL-Key Colony Beach,33051,33051
FL-Key Largo,33037,33037
FL-Key West,33040,33045
FL-Keystone Heights,32656,32656
FL-Killarney,34740,34740
FL-Kissimmee,34741,34759
FL-La Crosse,32658,32658
FL-Labelle,33935,33975
FL-Lacoochee,33537,33537
FL-Lady Lake,32158,32159
FL-Lake Alfred,33850,33850
FL-Lake Butler,32054,32054
FL-Lake City,32024,32056
FL-Lake Como,32157,32157
FL-Lake Geneva,32160,32160
FL-Lake Hamilton,33851,33851
FL-Lake Harbor,33459,33459
FL-Lake Helen,32744,32744
FL-Lake Mary,32746,32795
FL-Lake Monroe,32747,32747
FL-Lake Panasoffkee,33538,33538
FL-Lake Placid,33852,33862
FL-Lake Wales,33853,33898
FL-Lake Worth,33449,33467
FL-Lakeland,33801,33815
FL-Lakeshore,33854,33854
FL-Lamont,32336,32336
FL-Lanark Village,32323,32323
