state-city,start_zipcode,end_zipcode
AK-Seward,99664,99664
AK-Shageluk,99665,99665
AK-Shaktoolik,99771,99771
AK-Shishmaref,99772,99772
AK-Shungnak,99773,99773
AK-Sitka,99835,99835
AK-Skagway,99840,99840
AK-Skwentna,99667,99667
AK-Sleetmute,99668,99668
AK-Soldotna,99669,99669
AK-South Naknek,99670,99670
AK-Stebbins,99671,99671
AK-Sterling,99672,99672
AK-Stevens Village,99774,99774
AK-Sutton,99674,99674
AK-Takotna,99675,99675
AK-Talkeetna,99676,99676
AK-Tanacross,99776,99776
AK-Tanana,99777,99777
AK-Tatitlek,99677,99677
AK-Teller,99778,99778
AK-Tenakee Springs,99841,99841
AK-Thorne Bay,99919,99919
AK-Togiak,99678,99678
AK-Tok,99780,99780
AK-Toksook Bay,99637,99637
AK-Trapper Creek,99683,99683
AK-Tuluksak,99679,99679
AK-Tuntutuliak,99680,99680
AK-Tununak,99681,99681
AK-Two Rivers,99716,99716
AK-Tyonek,99682,99682
AK-Unalakleet,99684,99684
AK-Unalaska,99685,99685
AK-Valdez,99686,99686
AK-Venetie,99781,99781
AK-Wainwright,99782,99782
AK-Wales,99783,99783
AK-Ward Cove,99928,99928
AK-Wasilla,99623,99687
AK-White Mountain,99784,99784
AK-Whittier,99693,99693
AK-Willow,99688,99688
AK-Wrangell,99929,99929
AK-Yakutat,99689,99689
AL-Abbeville,36310,36310
AL-Abernant,35440,35440
AL-Adamsville,35005,35005
AL-Addison,35540,35540
AL-Adger,35006,35006
AL-Akron,35441,35441
AL-Alabaster,35007,35007
AL-Alberta,36720,36720
AL-Albertville,35950,35951
AL-Alexander City,35010,35011
AL-Alexandria,36250,36250
AL-Aliceville,35442,35442
AL-Allgood,35013,35013
AL-Alpine,35014,35014
AL-Alton,35015,35015
AL-Altoona,35952,35952
AL-Andalusia,36420,36421
AL-Anderson,35610,35610
AL-Anniston,36201,36207
AL-Arab,35016,35016
AL-Ardmore,35739,35739
AL-Ariton,36311,36311
AL-Arley,35541,35541
AL-Arlington,36722,36722
AL-Ashford,36312,36312
AL-Ashland,36251,36251
AL-Ashville,35953,35953
AL-Athens,35611,35614
AL-Atmore,36502,36504
AL-Attalla,35954,35954
AL-Auburn,36830,36832
AL-Auburn University,36849,36849
AL-Autaugaville,36003,36003
AL-Axis,36505,36505
AL-Baileyton,35019,35019
AL-Banks,36005,36005
AL-Bankston,35542,35542
AL-Bay Minette,36507,36507
AL-Bayou La Batre,36509,36509
AL-Bear Creek,35543,35543
AL-Beatrice,36425,36425
AL-Beaverton,35544,35544
AL-Belk,35545,35545
AL-Bellamy,36901,36901
AL-Belle Mina,35615,35615
AL-Bellwood,36313,36313
AL-Berry,35546,35546
AL-Bessemer,35020,35023
AL-Billingsley,36006,36006
AL-Birmingham,35201,35298
AL-Black,36314,36314
AL-Blountsville,35031,35031
AL-Boaz,35956,35957
AL-Boligee,35443,35443
AL-Bon Air,35032,35032
AL-Bon Secour,36511,36511
AL-Booth,36008,36008
AL-Boykin,36723,36723
AL-Brantley,36009,36009
AL-Bremen,35033,35033
AL-Brent,35034,35034
AL-Brewton,36426,36427
AL-Bridgeport,35740,35740
AL-Brierfield,35035,35035
AL-Brilliant,35548,35548
AL-Brooklyn,36429,36429
AL-Brookside,35036,35036
AL-Brookwood,35444,35444
AL-Brownsboro,35741,35741
AL-Brundidge,36010,36010
AL-Bryant,35958,35958
AL-Bucks,36512,36512
AL-Buhl,35446,35446
AL-Burnwell,35038,35038
AL-Butler,36904,36904
AL-Bynum,36253,36253
AL-Calera,35040,35040
AL-Calvert,36513,36513
AL-Camden,36726,36726
AL-Camp Hill,36850,36850
AL-Campbell,36727,36727
AL-Capshaw,35742,35742
AL-Carbon Hill,35549,35549
AL-Carrollton,35447,35447
AL-Castleberry,36432,36432
AL-Catherine,36728,36728
AL-Cecil,36013,36013
AL-Cedar Bluff,35959,35959
AL-Centre,35960,35960
AL-Centreville,35042,35042
AL-Chancellor,36316,36316
AL-Chapman,36015,36015
AL-Chatom,36518,36518
AL-Chelsea,35043,35043
AL-Cherokee,35616,35616
AL-Childersburg,35044,35044
AL-Choccolocco,36254,36254
AL-Chunchula,36521,36521
AL-Citronelle,36522,36522
AL-Clanton,35045,35046
AL-Clay,35048,35048
AL-Clayton,36016,36016
AL-Cleveland,35049,35049
AL-Clinton,35448,35448
AL-Clio,36017,36017
AL-Clopton,36317,36317
AL-Cloverdale,35617,35617
AL-Coaling,35449,35449
AL-Coden,36523,36523
AL-Coffee Springs,36318,36318
AL-Coffeeville,36524,36524
AL-Coker,35452,35452
AL-Collinsville,35961,35961
AL-Columbia,36319,36319
AL-Columbiana,35051,35051
AL-Cook Springs,35052,35052
AL-Coosada,36020,36020
AL-Cordova,35550,35550
