Outbound Order Num/出库单号,Tracking Number/物流跟踪号,Shipping service/承运商
OBS0032506030SY,9400109106246500685978,USPS
OBS0032506030T3,9434609106246000713579,USPS
OBS0032506030T5,9434609106246000713586,USPS
