Outbound Order Num/出库单号,Tracking Number/物流跟踪号,Shipping service/承运商
OBS0032506030TJ,9400109106246500690095,USPS
OBS0032506030TP,9434609106246500690158,USPS
OBS0032506030TX,9400109106246500690163,USPS
OBS0032506030U0,9400109106246500690293,USPS
